"1 Hour","1 heure"
"2 Hours","2 heures"
"6 Hours","6 heures"
"12 Hours","12 heures"
"24 Hours","24 heures"
"Enable","Activer"
"Extension Updates","Mises à jour d'extension"
"Last Update","Dernière mise à jour"
"Marketing Information","Informations marketing"
"Notification Types Allowed","Types de notification acceptées"
"Notifications Settings","Paramètres de notification"
"Other Information","Autres informations"
"SalesIds Extensions","Extensions SalesIds"
"Update Frequency","Fréquence de mise à jour"
"Use HTTPS to Get Feed","Récupérer le flux au travers de son URL HTTPS"
